Datetime,WHITBYCGS,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,PICKERINGA-G1,PICKERINGA-G4,PICKERINGB-G5,PICKERINGB-G6,PICKERINGB-G7,PICKERINGB-G8,TADOUGLAS,HALTONHILLS-LT_G1,HALTONHILLS-LT_G2,HALTONHILLS-LT_G3,THOROLDCGS,GTAA-G1,GTAA-G2,GTAA-G3,BECK1,BECK2,BECK2 PGS,DECEWFALLS,DECEWND1,GRAND VALLEY 3,GRANDSF,GRANDWF,Sum_Consumption,Temperature,WindSpeed,Humidity,Pressure
2015-01-01 0:00,57,0,0,0,512,517,508,514,0,521,113,0,0,0,0,0,0,0,90,855,0,134,20,0,0,141,3982,266.7635,8,100,1032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 1:00,57,0,0,0,511,516,507,514,0,521,110,0,0,0,0,0,0,0,91,848,0,135,20,0,0,139,3969,266.6183333,8,100,1031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 2:00,57,0,0,0,512,516,505,514,0,521,110,0,0,0,0,0,0,0,90,863,0,134,20,0,0,138,3980,266.6866667,8,100,1031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 3:00,57,0,0,0,511,517,508,514,0,521,110,0,0,0,0,0,0,0,90,899,0,134,20,0,0,138,4019,266.673,8,100,1030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 4:00,57,0,0,0,510,515,508,514,0,521,110,0,0,0,0,0,0,0,90,916,0,133,20,0,0,129,4023,266.7686667,8,100,1030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 5:00,57,0,0,0,512,517,508,515,0,520,110,0,0,0,0,0,0,0,90,851,0,131,20,0,0,130,3961,266.7823333,9,100,1029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 6:00,57,0,0,0,512,517,509,515,0,520,110,0,0,0,0,0,0,0,90,906,0,132,20,0,0,137,4025,267.3775,8,100,1029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01 7:00,57,0,0,0,511,517,508,515,0,520,110,0,0,0,0,0,0,0,90,979,0,132,20,0,0,140,4099,267.1973333,9,100,1028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 0:00,57,0,0,0,511,517,508,514,0,520,56,0,0,0,0,0,0,0,90,922,1,117,19,0,0,124,3956,270.6025,8,95,1025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 1:00,57,0,0,0,512,516,508,514,0,521,56,0,0,0,0,0,0,0,91,1020,1,117,16,0,0,115,4044,270.7656667,8,95,1025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 2:00,57,0,0,0,511,517,508,515,0,521,56,0,0,0,0,0,0,0,91,951,1,117,15,0,0,116,3976,271.0523333,8,94,1026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 3:00,57,0,0,0,511,517,506,515,0,520,56,0,0,0,0,0,0,0,90,966,1,117,15,0,0,110,3981,271.118,8,93,1026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 4:00,57,0,0,0,512,517,508,515,0,520,56,0,0,0,0,0,0,0,91,903,1,117,15,0,0,96,3908,271.4783333,8,92,1027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 5:00,57,0,0,0,512,517,508,515,0,521,56,0,0,0,0,0,0,0,90,986,1,118,15,0,0,85,3981,271.6176667,7,91,1027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 6:00,57,0,0,0,511,517,508,514,0,520,56,0,0,0,0,0,0,0,90,1092,1,121,15,0,0,81,4083,271.087,7,92,1028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 7:00,57,0,0,0,510,517,507,514,0,518,57,0,0,0,0,0,0,0,91,1138,1,121,15,0,0,75,4121,271.4496667,7,90,1028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03 0:00,56,0,0,0,512,516,509,516,0,520,61,0,0,0,30,0,0,0,230,1302,0,117,10,0,0,27,4406,269.0475,3,91,1041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03 1:00,56,0,0,0,511,518,509,516,0,520,61,0,0,0,0,0,0,0,81,1162,0,117,10,0,0,40,4101,268.4746667,3,95,1041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03 2:00,57,0,0,0,512,518,509,516,0,519,61,0,0,0,0,0,0,0,83,880,0,116,9,0,0,43,3823,267.2413333,2,97,1043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03 3:00,57,0,0,0,511,517,509,516,0,520,61,0,0,0,0,0,0,0,86,913,0,117,9,0,0,55,3871,267.4,2,96,1042
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03 4:00,57,0,0,0,511,518,509,515,0,520,62,0,0,0,0,0,0,0,86,954,0,119,9,0,0,34,3894,265.7026667,1,100,1044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03 5:00,57,0,0,0,512,518,509,516,0,519,82,0,0,0,0,0,0,0,86,993,0,119,9,0,0,32,3952,265.3973333,1,100,1044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03 6:00,57,0,0,0,512,519,509,516,0,521,115,0,0,0,0,0,0,0,87,1070,0,119,8,0,0,43,4076,266.0195,2,100,1044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03 7:00,57,0,0,0,511,518,509,515,0,521,116,0,0,0,0,0,0,0,279,1386,0,119,7,0,0,41,4579,265.405,1,100,1044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04 0:00,56,0,0,0,510,518,508,513,0,521,115,0,0,0,0,0,0,0,164,1277,0,122,8,0,0,79,4391,274.6985,4,99,1028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04 1:00,56,0,0,0,509,518,507,515,0,521,115,0,0,0,0,0,0,0,84,1114,0,122,8,0,0,115,4184,275.6686667,4,98,1027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04 2:00,57,0,0,0,510,518,509,510,0,521,116,0,0,0,0,0,0,0,136,1258,0,122,5,0,0,94,4356,275.6693333,3,98,1026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
