Datetime,WHITBYCGS,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,Sum_Nuclaer,PICKERINGA-G1,PICKERINGA-G4,PICKERINGB-G5,PICKERINGB-G6,PICKERINGB-G7,PICKERINGB-G8,TADOUGLAS,HALTONHILLS-LT_G1,HALTONHILLS-LT_G2,HALTONHILLS-LT_G3,THOROLDCGS,GTAA-G1,GTAA-G2,GTAA-G3,Sum_Gad_Fired,BECK1,BECK2,BECK2 PGS,DECEWFALLS,DECEWND1,Sum_Hydro,GRAND VALLEY 3,GRANDSF,GRANDWF,Sum_Wind,Sum_Consumption,Temperature,WindSpeed,Humidity,Pressure
2015-01-01 8:00,57,0,0,0,57,511,516,508,515,0,521,110,0,0,0,0,0,0,0,2681,90,975,0,131,20,1216,0,0,143,143,4097,267.5986667,9,100,1028
2015-01-01 17:00,57,0,112,71,240,510,516,507,514,0,519,57,0,0,0,0,0,0,0,2623,90,991,0,120,20,1221,0,0,137,137,4221,269.3006667,9,97,1024
2015-01-01 18:00,57,0,112,71,240,512,517,508,515,0,520,56,0,0,0,0,0,0,0,2628,90,920,0,120,20,1150,0,0,136,136,4154,269.435,9,98,1024
2015-01-01 19:00,57,0,112,71,240,511,516,508,515,0,521,56,0,0,0,0,0,0,0,2627,90,973,0,119,20,1202,0,0,134,134,4203,269.588,9,96,1024
2015-01-01 20:00,57,0,112,72,241,511,516,508,515,0,521,56,0,0,0,0,0,0,0,2627,90,915,0,118,20,1143,0,0,134,134,4145,269.727,9,96,1023
2015-01-01 21:00,57,0,112,72,241,511,517,508,515,0,521,55,0,0,0,0,0,0,0,2627,90,970,0,118,20,1198,0,0,131,131,4197,269.964,9,96,1024
2015-01-01 22:00,57,0,22,17,96,510,516,508,515,0,521,55,0,0,0,0,0,0,0,2625,91,988,0,118,20,1217,0,0,130,130,4068,270.0703333,9,96,1024
2015-01-01 23:00,57,0,0,0,57,510,515,508,515,0,519,56,0,0,0,0,0,0,0,2623,90,942,2,117,20,1171,0,0,126,126,3977,270.2746667,9,96,1024
2015-01-02 8:00,57,0,0,0,57,511,517,508,515,0,520,57,0,0,0,0,0,0,0,2628,91,993,1,119,15,1219,0,0,80,80,3984,271.1423333,7,90,1029
2015-01-02 17:00,57,175,175,202,609,511,517,508,516,0,520,56,0,0,0,98,0,0,0,2726,411,1389,21,112,16,1949,0,0,17,17,5301,271.5676667,5,86,1036
2015-01-02 18:00,57,132,132,171,492,511,518,508,516,0,520,57,0,0,0,199,0,0,0,2829,414,1328,31,112,11,1896,0,0,5,5,5222,271.393,5,87,1037
2015-01-02 19:00,57,124,124,154,459,511,518,508,516,0,521,55,0,0,0,196,0,0,0,2825,408,1389,8,112,10,1927,0,0,2,2,5213,272.0303333,5,83,1036
2015-01-02 20:00,56,113,113,150,432,511,518,508,516,0,521,58,0,0,0,196,0,0,0,2828,397,1409,27,116,10,1959,0,0,0,0,5219,272.0586667,5,83,1037
2015-01-02 21:00,56,12,15,24,107,511,519,509,516,0,518,60,0,0,0,195,0,0,0,2828,356,1394,13,117,10,1890,0,0,0,0,4825,270.855,5,88,1038
2015-01-02 22:00,56,0,0,0,56,511,518,509,514,0,520,60,0,0,0,227,0,0,0,2859,397,1376,16,117,10,1916,0,0,2,2,4833,271.294,5,86,1038
2015-01-02 23:00,56,0,0,0,56,511,518,508,515,0,520,60,0,0,0,223,0,0,0,2855,301,1361,0,116,10,1788,0,0,15,15,4714,270.501,4,89,1039
2015-01-03 8:00,57,0,0,0,57,507,516,508,513,0,519,116,0,0,0,0,0,0,0,2679,106,1204,0,121,4,1435,0,0,35,35,4206,265.718,2,100,1044
2015-01-03 17:00,57,177,142,189,565,506,513,507,511,0,517,116,194,191,236,192,0,0,0,3483,371,1401,10,123,5,1910,0,0,6,6,5964,272.891,5,95,1038
2015-01-03 18:00,56,179,142,192,569,507,514,507,513,0,520,116,196,194,267,11,0,0,0,3345,413,1368,30,122,5,1938,0,0,10,10,5862,273.232,5,95,1037
2015-01-03 19:00,56,114,116,152,438,506,514,507,513,0,520,115,137,136,152,0,0,0,0,3100,379,1360,8,120,5,1872,0,0,17,17,5427,273.221,5,98,1035
2015-01-03 20:00,56,48,52,70,226,505,514,508,514,0,519,115,150,150,154,0,0,0,0,3129,399,1399,24,120,5,1947,0,0,27,27,5329,273.474,5,99,1034
2015-01-03 21:00,56,0,0,0,56,508,514,509,514,0,519,115,132,131,143,0,0,0,0,3085,288,1398,13,120,5,1824,0,0,21,21,4986,274.318,5,98,1033
2015-01-03 22:00,57,0,0,0,57,508,513,509,514,0,521,115,43,43,23,0,0,0,0,2789,86,1334,0,121,6,1547,0,0,6,6,4399,274.374,5,99,1031
