Datetime,WHITBYCGS,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,Nuclear (MW),PICKERINGA-G1,PICKERINGA-G4,PICKERINGB-G5,PICKERINGB-G6,PICKERINGB-G7,PICKERINGB-G8,TADOUGLAS,HALTONHILLS-LT_G1,HALTONHILLS-LT_G2,HALTONHILLS-LT_G3,THOROLDCGS,GTAA-G1,GTAA-G2,GTAA-G3,Gas Fired (MW),BECK1,BECK2,BECK2 PGS,DECEWFALLS,DECEWND1,Hydro (MW),GRAND VALLEY 3,GRANDSF,GRANDWF,Wind (MW),Total Consumtion (MW),Temperature (K),WindSpeed (km/h),Humidity (%),Pressure (mbar)
2015-01-01 9:00,57,0,0,0,57,511,516,508,515,0,521,110,0,0,0,0,0,0,0,2681,90,1035,0,130,20,1275,0,0,141,141,4154,267.619,9,100,1028
2015-01-01 10:00,57,0,0,0,57,511,516,508,515,0,520,110,0,0,0,0,0,0,0,2680,91,972,0,131,20,1214,0,0,141,141,4092,268.1473333,9,100,1027
2015-01-01 11:00,57,0,0,0,57,511,516,508,515,0,520,110,0,0,0,0,0,0,0,2680,91,961,0,130,20,1202,0,0,131,131,4070,268.2946667,9,100,1027
2015-01-01 12:00,57,0,0,0,57,510,516,506,514,0,519,110,0,0,0,0,0,0,0,2675,90,995,0,129,20,1234,0,0,122,122,4088,268.502,9,100,1027
2015-01-01 13:00,57,0,0,0,57,509,515,507,513,0,518,110,0,0,0,0,0,0,0,2672,90,960,0,125,20,1195,0,0,132,132,4056,268.6293333,9,100,1026
2015-01-01 14:00,57,0,12,6,75,510,516,508,514,0,520,110,0,0,0,0,0,0,0,2678,90,925,0,123,20,1158,0,0,132,132,4043,268.8166667,9,100,1026
2015-01-01 15:00,57,0,32,25,114,511,516,507,513,0,520,108,0,0,0,0,0,0,0,2675,90,924,0,123,20,1157,0,0,135,135,4081,268.9455,9,98,1025
2015-01-01 16:00,57,0,114,70,241,510,515,507,513,0,519,68,0,0,0,0,0,0,0,2632,90,960,0,123,20,1193,0,0,136,136,4202,269.1523333,9,98,1025
2015-01-02 9:00,57,0,0,0,57,510,517,508,515,0,520,57,0,0,0,0,0,0,0,2627,91,1024,1,119,15,1250,0,0,88,88,4022,270.8975,6,93,1030
2015-01-02 10:00,57,0,0,5,62,512,518,508,515,0,520,57,0,0,0,0,0,0,0,2630,91,946,1,119,15,1172,0,0,95,95,3959,270.5693333,6,92,1031
