Date,WHITBYCGS,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,PICKERINGA-G1,PICKERINGA-G3,PICKERINGB-G5,PICKERINGB-G6,PICKERINGB-G7,PICKERINGB-G8,PORTLANDS-G1,PORTLANDS-G2,PORTLANDS-G3,HALTONHILLS-LT_G1,HALTONHILLS-LT_G2,HALTONHILLS-LT_G3,THOROLDCGS,GTAA-G1,GTAA-G2,GTAA-G3,BECK1,BECK2,DECEWFALLS,GRAND VALLEY 3,GRANDSF,GRANDWF,SUM
01-Jan-17,57,0,0,0,512,509,491,512,0,522,0,0,0,0,0,0,0,0,0,0,132,988,71,37,0,127,3958
01-Jan-17,57,0,0,0,512,508,492,511,0,521,0,0,0,0,0,0,0,0,0,0,131,1064,70,35,0,99,4000
01-Jan-17,57,0,0,0,511,509,492,512,0,521,0,0,0,0,0,0,0,0,0,0,132,1002,70,28,0,81,3915
01-Jan-17,57,0,0,0,512,510,494,514,0,522,0,0,0,0,0,0,0,0,0,0,132,1024,70,27,0,55,3917
01-Jan-17,57,0,0,0,513,510,494,513,0,522,0,0,0,0,0,0,0,0,0,0,132,997,70,24,0,50,3882
01-Jan-17,57,0,0,0,513,511,495,514,0,522,0,0,0,0,0,0,0,0,0,0,132,984,70,22,0,48,3868
01-Jan-17,57,0,0,0,513,511,499,514,0,522,0,0,0,0,0,0,0,0,0,0,133,999,70,22,0,57,3897
01-Jan-17,57,0,0,0,512,511,501,514,0,522,0,0,0,0,0,0,0,0,0,0,136,1062,71,22,0,53,3961
01-Jan-17,57,0,0,0,513,510,500,514,0,520,0,0,0,0,0,0,0,0,0,0,135,992,71,24,12,34,3882
01-Jan-17,57,0,0,0,512,510,500,513,0,522,0,0,0,0,0,0,0,0,0,0,135,996,71,21,49,18,3904
01-Jan-17,57,0,0,0,513,511,500,513,0,522,0,0,0,0,0,0,0,0,0,0,134,977,71,23,83,21,3925
01-Jan-17,57,0,0,0,512,510,500,506,0,523,0,0,0,0,0,0,0,0,0,0,135,1046,71,22,96,39,4017
01-Jan-17,57,0,0,0,512,510,498,499,0,522,0,0,0,0,0,0,0,0,0,0,133,1076,71,24,97,40,4039
01-Jan-17,57,0,0,0,513,510,500,500,0,520,0,0,0,0,0,0,0,0,0,0,134,1082,72,22,93,25,4028
01-Jan-17,57,0,0,0,513,510,500,500,0,522,0,0,0,0,0,0,0,0,0,0,134,1111,72,15,76,36,4046
01-Jan-17,57,0,0,0,513,511,498,500,0,522,0,0,0,0,0,0,0,0,0,0,132,1103,72,9,39,43,3999
01-Jan-17,56,0,0,0,513,509,499,502,0,522,0,0,0,0,0,0,0,0,0,0,132,1083,72,5,7,22,3922
01-Jan-17,56,0,0,0,513,511,500,513,0,522,0,0,0,0,0,0,0,0,0,0,166,1230,72,23,0,30,4136
01-Jan-17,56,0,0,0,513,511,501,513,0,522,0,0,0,0,0,0,0,0,0,0,206,1311,72,36,0,13,4254
01-Jan-17,57,0,0,0,513,510,499,514,0,520,0,0,0,0,0,0,0,0,0,0,135,1035,71,32,0,6,3892
01-Jan-17,57,0,0,0,513,510,500,514,0,522,0,0,0,0,0,0,0,0,0,0,163,1246,71,33,0,7,4136
01-Jan-17,57,0,0,0,512,511,501,514,0,522,0,0,0,0,0,0,0,0,0,0,151,1241,71,33,0,11,4124
01-Jan-17,57,0,0,0,513,510,500,514,0,522,0,0,0,0,0,0,0,0,0,0,166,1168,71,33,0,1,4055
01-Jan-17,57,0,0,0,513,509,501,513,0,520,0,0,0,0,0,0,0,0,0,0,274,1369,70,28,0,0,4354
02-Jan-17,56,0,0,0,513,510,500,514,0,522,0,0,0,0,0,0,0,0,0,0,176,1378,70,16,0,4,4259
