datetime,Temp,Supply_MW,Humidity,wind_speed,Pressure
2017-01-01 0:00,275.59,13,92,3,1001
2017-01-01 1:00,275.34,13,86,9,1003
2017-01-01 2:00,275.56,13,86,7,1003
2017-01-01 3:00,275.57,13,74,5,1003
2017-01-01 4:00,274.92,13,69,6,1006
2017-01-01 5:00,274.66,13,69,7,1006
2017-01-01 6:00,274.14,13,64,10,1007
2017-01-01 7:00,273.63,13,64,9,1009
2017-01-01 8:00,273.63,13,69,6,1011
2017-01-01 9:00,273.4,13,84,4,1013
2017-01-01 10:00,273.4,13,84,5,1013
2017-01-01 11:00,273.4,13,88,3,1014
2017-01-01 12:00,273.39,13,69,9,1016
2017-01-01 13:00,272.55,13,88,7,1017
2017-01-01 14:00,272.35,13,86,7,1018
2017-01-01 15:00,272.56,13,86,7,1020
2017-01-01 16:00,273.57,13,64,6,1021
2017-01-01 17:00,274.16,13,59,7,1022
2017-01-01 18:00,275.16,13,55,5,1021
2017-01-01 19:00,275.37,13,51,5,1021
2017-01-01 20:00,275.57,13,55,4,1021
2017-01-01 21:00,275.76,13,55,4,1022
2017-01-01 22:00,275.36,13,55,5,1023
2017-01-01 23:00,274.15,13,59,4,1024
2017-01-02 0:00,273.33,13,59,5,1025
2017-01-02 1:00,273.15,13,74,3,1025
2017-01-02 2:00,271.89,13,74,5,1026
2017-01-02 3:00,271.91,13,74,4,1026
2017-01-02 4:00,271.09,13,74,3,1027
2017-01-02 5:00,270.82,13,74,2,1027
2017-01-02 6:00,270.57,12,74,1,1026
2017-01-02 7:00,270.1,12,70,1,1027
2017-01-02 8:00,270.08,12,80,3,1027
2017-01-02 9:00,270.34,12,74,4,1027
2017-01-02 10:00,270.85,11,80,6,1027
2017-01-02 11:00,271.66,12,86,4,1027
2017-01-02 12:00,271.19,12,85,2,1027
2017-01-02 13:00,271.72,12,65,4,1027
2017-01-02 14:00,271.91,12,92,2,1027
2017-01-02 15:00,273.11,12,80,4,1027
2017-01-02 16:00,274.96,12,93,8,1026
2017-01-02 17:00,276.36,12,86,6,1026
2017-01-02 18:00,277.15,12,85,7,1025
2017-01-02 19:00,277.36,11,85,7,1024
2017-01-02 20:00,276.96,11,93,5,1024
2017-01-02 21:00,276.75,12,93,8,1025
2017-01-02 22:00,276.36,11,93,7,1023
2017-01-02 23:00,276.15,12,80,7,1023
2017-01-03 0:00,276.13,12,80,6,1022
2017-01-03 1:00,276.15,12,80,6,1022
2017-01-03 2:00,276.76,12,86,4,1020
2017-01-03 3:00,276.74,12,86,3,1019
2017-01-03 4:00,276.38,12,93,5,1019
2017-01-03 5:00,275.87,12,100,4,1018
2017-01-03 6:00,276.38,12,93,5,1017
2017-01-03 7:00,276.11,12,93,5,1016
2017-01-03 8:00,276.37,12,100,4,1016
2017-01-03 9:00,276.11,11,100,5,1015
2017-01-03 10:00,276.11,11,93,6,1014
2017-01-03 11:00,276.12,11,93,5,1013
2017-01-03 12:00,276.64,11,100,3,1012
2017-01-03 13:00,276.75,12,93,4,1011
2017-01-03 14:00,276.75,12,100,4,1010
2017-01-03 15:00,276.95,11,100,4,1009
2017-01-03 16:00,276.98,12,100,5,1008
2017-01-03 17:00,276.98,12,100,2,1007
2017-01-03 18:00,276.93,11,100,1,1005
2017-01-03 19:00,277.15,12,100,2,1004
2017-01-03 20:00,277.17,12,100,5,1004
2017-01-03 21:00,277.14,12,100,1,1003
2017-01-03 22:00,276.95,11,93,3,1002
2017-01-03 23:00,276.94,11,93,5,1001
2017-01-04 0:00,276.98,12,100,3,1000
2017-01-04 1:00,276.71,12,93,3,999
2017-01-04 2:00,276.15,12,93,3,998
2017-01-04 3:00,276.2,12,93,3,998
2017-01-04 4:00,275.35,12,93,2,997
2017-01-04 5:00,275.42,12,100,1,997
2017-01-04 6:00,275.39,12,100,2,996
2017-01-04 7:00,275.4,11,93,4,997
2017-01-04 8:00,275.13,11,100,4,997
2017-01-04 9:00,275.6,12,93,4,996
2017-01-04 10:00,276.16,12,86,6,996
2017-01-04 11:00,275.62,12,89,7,997
2017-01-04 12:00,275.65,12,93,2,996
2017-01-04 13:00,275.93,12,80,7,997
2017-01-04 14:00,275.37,12,83,10,998
2017-01-04 15:00,275.36,11,74,7,996
2017-01-04 16:00,274.75,12,69,11,997
2017-01-04 17:00,272.59,12,68,12,999
2017-01-04 18:00,270.98,11,63,14,1000
2017-01-04 19:00,270.17,12,49,13,1001
2017-01-04 20:00,269.15,11,53,13,1002
2017-01-04 21:00,268.33,12,58,14,1003
2017-01-04 22:00,267.74,12,57,13,1003
2017-01-04 23:00,266.98,12,62,11,1003
2017-01-05 0:00,266.75,11,67,14,1004
2017-01-05 1:00,266.19,12,61,6,1003
2017-01-05 2:00,265.76,12,67,8,1004
2017-01-05 3:00,265.55,12,73,12,1005
2017-01-05 4:00,265.12,13,67,13,1006
2017-01-05 5:00,265.14,13,67,12,1006
2017-01-05 6:00,265.14,13,67,12,1006
2017-01-05 7:00,265.14,12,67,11,1005
2017-01-05 8:00,265.88,11,67,14,1007
2017-01-05 9:00,266.11,12,67,12,1008
2017-01-05 10:00,266.14,11,67,13,1008
2017-01-05 11:00,266.39,11,73,10,1009
2017-01-05 12:00,266.38,12,67,11,1010
2017-01-05 13:00,265.34,12,67,8,1010
2017-01-05 14:00,265.33,12,67,9,1011
2017-01-05 15:00,265.56,12,67,5,1010
2017-01-05 16:00,266.15,12,62,7,1011
2017-01-05 17:00,266.37,12,61,6,1011
2017-01-05 18:00,266.77,12,57,5,1009
2017-01-05 19:00,266.78,12,62,6,1009
2017-01-05 20:00,266.74,11,67,7,1011
2017-01-05 21:00,266.55,12,62,7,1011
2017-01-05 22:00,265.97,11,67,5,1011
2017-01-05 23:00,265.59,11,66,3,1010
2017-01-06 0:00,265.17,11,66,3,1011
2017-01-06 1:00,265.16,12,67,6,1012
2017-01-06 2:00,264.56,12,61,7,1012
2017-01-06 3:00,264.16,12,61,7,1013
2017-01-06 4:00,262.9,12,66,7,1013
2017-01-06 5:00,262.9,12,61,7,1014
2017-01-06 6:00,261.9,12,66,6,1014
2017-01-06 7:00,261.9,12,66,6,1015
2017-01-06 8:00,261.9,12,66,6,1015
2017-01-06 9:00,261.9,12,72,7,1015
2017-01-06 10:00,260.9,12,72,6,1015
2017-01-06 11:00,260.9,12,72,5,1015
2017-01-06 12:00,260.63,12,72,6,1016
2017-01-06 13:00,260.33,12,66,8,1017
2017-01-06 14:00,260.33,12,66,6,1017
2017-01-06 15:00,261.55,12,66,5,1018
2017-01-06 16:00,263.16,12,56,5,1019
2017-01-06 17:00,264.34,12,52,6,1019
2017-01-06 18:00,265.55,11,48,7,1019
2017-01-06 19:00,265.74,12,44,5,1019
2017-01-06 20:00,265.76,11,48,6,1019
2017-01-06 21:00,266.15,12,44,6,1020
2017-01-06 22:00,265.35,12,48,6,1021
2017-01-06 23:00,264.16,12,48,7,1021
2017-01-07 0:00,263.35,12,52,6,1023
2017-01-07 1:00,262.95,12,52,4,1024
2017-01-07 2:00,262.74,12,56,6,1024
2017-01-07 3:00,262.15,12,61,4,1025
2017-01-07 4:00,261.63,12,61,6,1025
2017-01-07 5:00,261.37,12,61,4,1025
2017-01-07 6:00,260.88,12,61,4,1026
2017-01-07 7:00,260.63,12,72,5,1026
2017-01-07 8:00,259.84,12,72,3,1026
2017-01-07 9:00,259.84,12,66,4,1027
2017-01-07 10:00,259.84,12,66,4,1027
2017-01-07 11:00,259.09,12,66,2,1027
2017-01-07 12:00,259.09,12,72,2,1027
2017-01-07 13:00,258.92,12,78,3,1027
2017-01-07 14:00,259.13,12,78,2,1027
2017-01-07 15:00,260.72,12,78,2,1028
2017-01-07 16:00,262.94,12,72,4,1028
2017-01-07 17:00,264.93,12,67,4,1026
2017-01-07 18:00,265.55,12,62,4,1026
2017-01-07 19:00,265.96,12,62,3,1026
2017-01-07 20:00,265.76,12,57,6,1025
2017-01-07 21:00,265.55,12,57,6,1025
2017-01-07 22:00,264.79,12,48,9,1025
2017-01-07 23:00,263.97,12,56,4,1024
2017-01-08 0:00,263.15,12,66,4,1024
2017-01-08 1:00,262.76,12,56,7,1025
2017-01-08 2:00,262.35,12,61,9,1026
2017-01-08 3:00,262.37,12,66,9,1025
2017-01-08 4:00,261.9,12,66,9,1025
2017-01-08 5:00,261.9,12,72,9,1024
2017-01-08 6:00,261.9,12,72,10,1023
2017-01-08 7:00,261.9,12,78,9,1022
2017-01-08 8:00,262.61,12,78,10,1022
2017-01-08 9:00,263.4,12,67,6,1022
2017-01-08 10:00,263.6,12,78,6,1022
2017-01-08 11:00,263.44,12,78,4,1023
2017-01-08 12:00,263.14,12,52,6,1025
2017-01-08 13:00,262.97,12,85,3,1024
2017-01-08 14:00,262.81,12,72,6,1026
2017-01-08 15:00,262.79,12,72,6,1026
2017-01-08 16:00,262.96,12,61,9,1028
2017-01-08 17:00,263.36,12,56,8,1029
2017-01-08 18:00,263.15,12,47,8,1030
2017-01-08 19:00,263.16,12,51,9,1030
2017-01-08 20:00,263.55,12,52,5,1033
2017-01-08 21:00,263.37,12,61,4,1033
2017-01-08 22:00,262.95,12,52,5,1033
2017-01-08 23:00,262.16,12,61,2,1034
2017-01-09 0:00,261.96,12,47,6,1035
2017-01-09 1:00,261.76,12,51,4,1036
2017-01-09 2:00,260.96,12,56,3,1036
2017-01-09 3:00,261.36,12,66,5,1037
2017-01-09 4:00,261.63,12,66,4,1037
2017-01-09 5:00,262.27,12,72,6,1036
2017-01-09 6:00,263.08,12,72,2,1033
2017-01-09 7:00,263.31,12,67,7,1034
2017-01-09 8:00,263.86,12,66,3,1033
2017-01-09 9:00,264.37,12,62,7,1034
2017-01-09 10:00,265.14,12,61,4,1033
2017-01-09 11:00,265.1,12,67,9,1033
2017-01-09 12:00,265.86,12,67,2,1032
2017-01-09 13:00,266.11,11,67,12,1032
2017-01-09 14:00,266.68,12,67,9,1031
2017-01-09 15:00,266.72,12,79,11,1030
2017-01-09 16:00,267.12,12,79,12,1030
2017-01-09 17:00,268.09,12,68,11,1028
