Date	WHITBYCGS	PICKERINGA-G1	PICKERINGA-G3	PICKERINGB-G5	PICKERINGB-G6	PICKERINGB-G8	BECK1	BECK2	DECEWFALLS	GRAND VALLEY 3	GRANDWF	SUM	Humidity	Pressure	Temperature
1/1/2017 0:00	57	512	509	491	512	522	132	988	71	37	127	3958	92	1001	2.59
1/1/2017 1:00	57	512	508	492	511	521	131	1064	70	35	99	4000	86	1003	2.34
1/1/2017 2:00	57	511	509	492	512	521	132	1002	70	28	81	3915	86	1003	2.56
1/1/2017 3:00	57	512	510	494	514	522	132	1024	70	27	55	3917	74	1003	2.57
1/1/2017 4:00	57	513	510	494	513	522	132	997	70	24	50	3882	69	1006	1.92
1/1/2017 5:00	57	513	511	495	514	522	132	984	70	22	48	3868	69	1006	1.66
1/1/2017 6:00	57	513	511	499	514	522	133	999	70	22	57	3897	64	1007	1.14
1/1/2017 7:00	57	512	511	501	514	522	136	1062	71	22	53	3961	64	1009	0.63
1/1/2017 8:00	57	513	510	500	514	520	135	992	71	24	34	3870	69	1011	0.63
1/1/2017 9:00	57	512	510	500	513	522	135	996	71	21	18	3855	84	1013	0.4
1/1/2017 10:00	57	513	511	500	513	522	134	977	71	23	21	3842	84	1013	0.4
1/1/2017 11:00	57	512	510	500	506	523	135	1046	71	22	39	3921	88	1014	0.4
1/1/2017 12:00	57	512	510	498	499	522	133	1076	71	24	40	3942	69	1016	0.39
1/1/2017 13:00	57	513	510	500	500	520	134	1082	72	22	25	3935	88	1017	-0.45
1/1/2017 14:00	57	513	510	500	500	522	134	1111	72	15	36	3970	86	1018	-0.65
1/1/2017 15:00	57	513	511	498	500	522	132	1103	72	9	43	3960	86	1020	-0.44
1/1/2017 16:00	56	513	509	499	502	522	132	1083	72	5	22	3915	64	1021	0.57
1/1/2017 17:00	56	513	511	500	513	522	166	1230	72	23	30	4136	59	1022	1.16
1/1/2017 18:00	56	513	511	501	513	522	206	1311	72	36	13	4254	55	1021	2.16
1/1/2017 19:00	57	513	510	499	514	520	135	1035	71	32	6	3892	51	1021	2.37
1/1/2017 20:00	57	513	510	500	514	522	163	1246	71	33	7	4136	55	1021	2.57
1/1/2017 21:00	57	512	511	501	514	522	151	1241	71	33	11	4124	55	1022	2.76
1/1/2017 22:00	57	513	510	500	514	522	166	1168	71	33	1	4055	55	1023	2.36
1/1/2017 23:00	57	513	509	501	513	520	274	1369	70	28	0	4354	59	1024	1.15
1/2/2017 0:00	56	513	510	500	514	522	176	1378	70	16	4	4259	59	1025	0.33
1/2/2017 1:00	57	513	510	500	513	522	208	1349	70	1	21	4264	74	1025	0.15
1/2/2017 2:00	57	513	510	499	514	522	139	1010	70	0	41	3875	74	1026	-1.11
1/2/2017 3:00	57	512	509	500	514	523	137	1000	70	2	40	3864	74	1026	-1.09
1/2/2017 4:00	57	512	511	500	512	523	138	1005	70	9	58	3895	74	1027	-1.91
1/2/2017 5:00	56	513	509	501	514	523	137	977	70	17	59	3876	74	1027	-2.18
1/2/2017 6:00	57	513	510	506	513	523	137	1022	69	25	64	3939	74	1026	-2.43
1/2/2017 7:00	57	513	509	506	513	523	137	996	66	32	37	3889	70	1027	-2.9
1/2/2017 8:00	57	513	509	506	513	523	139	986	66	24	47	3883	80	1027	-2.92
1/2/2017 9:00	57	513	499	507	514	523	141	1036	67	17	47	3921	74	1027	-2.66
1/2/2017 10:00	57	512	497	507	514	523	140	1071	66	22	30	3939	80	1027	-2.15
1/2/2017 11:00	57	513	496	507	514	522	140	1084	67	22	13	3935	86	1027	-1.34
1/2/2017 12:00	57	510	491	503	511	521	188	1365	66	16	5	4233	85	1027	-1.81
1/2/2017 13:00	57	510	489	500	509	521	161	1407	66	11	1	4232	65	1027	-1.28
1/2/2017 14:00	57	509	488	502	510	521	143	1226	67	18	8	4049	92	1027	-1.09
1/2/2017 15:00	57	509	498	502	510	520	135	1223	67	24	24	4069	80	1027	0.11
1/2/2017 16:00	56	510	500	501	510	521	135	1064	71	24	34	3926	93	1026	1.96
1/2/2017 17:00	57	509	500	498	509	521	135	1031	72	24	12	3868	86	1026	3.36
1/2/2017 18:00	57	509	501	496	510	521	135	1038	72	33	22	3894	85	1025	4.15
1/2/2017 19:00	56	510	501	500	510	521	138	1179	72	27	62	4076	85	1024	4.36
1/2/2017 20:00	56	509	501	500	508	521	138	1202	72	21	30	4058	93	1024	3.96
1/2/2017 21:00	57	508	499	498	508	520	306	1429	72	13	33	4443	93	1025	3.75
1/2/2017 22:00	57	509	499	498	510	519	233	1215	70	7	16	4133	93	1023	3.36
1/2/2017 23:00	57	509	500	500	510	520	139	1047	70	14	13	3879	80	1023	3.15
1/3/2017 0:00	56	509	502	500	510	521	140	1079	70	7	4	3898	80	1022	3.13
1/3/2017 1:00	57	510	502	501	511	522	138	1019	68	6	12	3846	80	1022	3.15
1/3/2017 2:00	57	511	504	502	511	522	138	1019	67	8	17	3856	86	1020	3.76
1/3/2017 3:00	57	512	505	502	512	522	137	1036	67	15	3	3868	86	1019	3.74
1/3/2017 4:00	57	512	506	499	512	522	138	1076	67	26	8	3923	93	1019	3.38
1/3/2017 5:00	57	511	506	496	512	522	138	1107	67	27	14	3957	100	1018	2.87
1/3/2017 6:00	57	511	505	497	511	519	156	1177	67	23	33	4056	93	1017	3.38
1/3/2017 7:00	57	511	504	501	511	521	240	1324	67	13	54	4303	93	1016	3.11
1/3/2017 8:00	57	510	505	499	511	521	301	1402	69	11	26	4412	100	1016	3.37
1/3/2017 9:00	57	512	506	502	512	520	158	1235	71	8	34	4115	100	1015	3.11
1/3/2017 10:00	57	511	506	503	512	522	201	1307	72	13	28	4232	93	1014	3.11
1/3/2017 11:00	57	512	505	503	512	522	296	1415	72	7	6	4407	93	1013	3.12
1/3/2017 12:00	57	512	506	502	511	522	295	1417	72	7	1	4402	100	1012	3.64
1/3/2017 13:00	57	512	506	502	512	522	203	1342	72	6	3	4237	93	1011	3.75
1/3/2017 14:00	57	512	507	501	512	522	264	1356	72	2	2	4307	100	1010	3.75
1/3/2017 15:00	57	512	507	501	512	522	295	1346	72	9	0	4333	100	1009	3.95
1/3/2017 16:00	56	512	506	502	512	522	151	1246	72	4	1	4084	100	1008	3.98
1/3/2017 17:00	56	512	507	502	511	520	251	1338	73	2	0	4272	100	1007	3.98
1/3/2017 18:00	56	513	507	502	512	522	209	1289	73	1	0	4184	100	1005	3.93
1/3/2017 19:00	57	513	507	503	513	522	279	1333	72	0	1	4300	100	1004	4.15
1/3/2017 20:00	57	513	507	503	513	520	280	1254	72	0	6	4225	100	1004	4.17
1/3/2017 21:00	57	513	507	496	513	523	246	1231	72	0	4	4162	100	1003	4.14
1/3/2017 22:00	57	512	506	491	512	523	207	1130	72	1	3	4014	93	1002	3.95
1/3/2017 23:00	57	513	507	491	513	523	151	1032	72	9	1	3869	93	1001	3.94
1/4/2017 0:00	57	513	508	495	513	521	136	1026	71	19	2	3861	100	1000	3.98
1/4/2017 1:00	57	513	507	502	513	523	136	1030	71	30	0	3882	93	999	3.71
1/4/2017 2:00	57	513	507	500	513	523	136	1019	71	37	0	3876	93	998	3.15
