datetime,Temp,Supply_MW
2017-01-01 0:00,275.59,13
2017-01-01 1:00,275.34,13
2017-01-01 2:00,275.56,13
2017-01-01 3:00,275.57,13
2017-01-01 4:00,274.92,13
2017-01-01 5:00,274.66,13
2017-01-01 6:00,274.14,13
2017-01-01 7:00,273.63,13
2017-01-01 8:00,273.63,13
2017-01-01 9:00,273.4,13
2017-01-01 10:00,273.4,13
2017-01-01 11:00,273.4,13
2017-01-01 12:00,273.39,13
2017-01-01 13:00,272.55,13
2017-01-01 14:00,272.35,13
2017-01-01 15:00,272.56,13
2017-01-01 16:00,273.57,13
2017-01-01 17:00,274.16,13
2017-01-01 18:00,275.16,13
2017-01-01 19:00,275.37,13
2017-01-01 20:00,275.57,13
2017-01-01 21:00,275.76,13
2017-01-01 22:00,275.36,13
2017-01-01 23:00,274.15,13
2017-01-02 0:00,273.33,13
2017-01-02 1:00,273.15,13
2017-01-02 2:00,271.89,13
2017-01-02 3:00,271.91,13
2017-01-02 4:00,271.09,13
2017-01-02 5:00,270.82,13
2017-01-02 6:00,270.57,12
2017-01-02 7:00,270.1,12
2017-01-02 8:00,270.08,12
2017-01-02 9:00,270.34,12
2017-01-02 10:00,270.85,11
2017-01-02 11:00,271.66,12
2017-01-02 12:00,271.19,12
2017-01-02 13:00,271.72,12
2017-01-02 14:00,271.91,12
2017-01-02 15:00,273.11,12
2017-01-02 16:00,274.96,12
2017-01-02 17:00,276.36,12
2017-01-02 18:00,277.15,12
2017-01-02 19:00,277.36,11
2017-01-02 20:00,276.96,11
2017-01-02 21:00,276.75,12
2017-01-02 22:00,276.36,11
2017-01-02 23:00,276.15,12
2017-01-03 0:00,276.13,12
2017-01-03 1:00,276.15,12
2017-01-03 2:00,276.76,12
2017-01-03 3:00,276.74,12
2017-01-03 4:00,276.38,12
2017-01-03 5:00,275.87,12
2017-01-03 6:00,276.38,12
2017-01-03 7:00,276.11,12
2017-01-03 8:00,276.37,12
2017-01-03 9:00,276.11,11
2017-01-03 10:00,276.11,11
2017-01-03 11:00,276.12,11
2017-01-03 12:00,276.64,11
2017-01-03 13:00,276.75,12
2017-01-03 14:00,276.75,12
2017-01-03 15:00,276.95,11
2017-01-03 16:00,276.98,12
2017-01-03 17:00,276.98,12
2017-01-03 18:00,276.93,11
2017-01-03 19:00,277.15,12
2017-01-03 20:00,277.17,12
2017-01-03 21:00,277.14,12
2017-01-03 22:00,276.95,11
2017-01-03 23:00,276.94,11
2017-01-04 0:00,276.98,12
2017-01-04 1:00,276.71,12
2017-01-04 2:00,276.15,12
2017-01-04 3:00,276.2,12
2017-01-04 4:00,275.35,12
2017-01-04 5:00,275.42,12
2017-01-04 6:00,275.39,12
2017-01-04 7:00,275.4,11
2017-01-04 8:00,275.13,11
2017-01-04 9:00,275.6,12
2017-01-04 10:00,276.16,12
2017-01-04 11:00,275.62,12
2017-01-04 12:00,275.65,12
2017-01-04 13:00,275.93,12
2017-01-04 14:00,275.37,12
2017-01-04 15:00,275.36,11
2017-01-04 16:00,274.75,12
2017-01-04 17:00,272.59,12
2017-01-04 18:00,270.98,11
2017-01-04 19:00,270.17,12
2017-01-04 20:00,269.15,11
2017-01-04 21:00,268.33,12
2017-01-04 22:00,267.74,12
2017-01-04 23:00,266.98,12
2017-01-05 0:00,266.75,11
2017-01-05 1:00,266.19,12
2017-01-05 2:00,265.76,12
2017-01-05 3:00,265.55,12
2017-01-05 4:00,265.12,13
2017-01-05 5:00,265.14,13
2017-01-05 6:00,265.14,13
2017-01-05 7:00,265.14,12
2017-01-05 8:00,265.88,11
2017-01-05 9:00,266.11,12
2017-01-05 10:00,266.14,11
2017-01-05 11:00,266.39,11
2017-01-05 12:00,266.38,12
2017-01-05 13:00,265.34,12
