"location__name","location__region","location__country","location__lat","location__lon","location__tz_id","location__localtime_epoch","location__localtime","forecast__forecastday__date","forecast__forecastday__date_epoch","forecast__forecastday__day__maxtemp_c","forecast__forecastday__day__maxtemp_f","forecast__forecastday__day__mintemp_c","forecast__forecastday__day__mintemp_f","forecast__forecastday__day__avgtemp_c","forecast__forecastday__day__avgtemp_f","forecast__forecastday__day__maxwind_mph","forecast__forecastday__day__maxwind_kph","forecast__forecastday__day__totalprecip_mm","forecast__forecastday__day__totalprecip_in","forecast__forecastday__day__avgvis_km","forecast__forecastday__day__avgvis_miles","forecast__forecastday__day__avghumidity","forecast__forecastday__day__condition__text","forecast__forecastday__day__condition__icon","forecast__forecastday__day__condition__code","forecast__forecastday__day__uv","forecast__forecastday__astro__sunrise","forecast__forecastday__astro__sunset","forecast__forecastday__astro__moonrise","forecast__forecastday__astro__moonset","forecast__forecastday__astro__moon_phase","forecast__forecastday__astro__moon_illumination","forecast__forecastday__hour__time_epoch","forecast__forecastday__hour__time","forecast__forecastday__hour__temp_c","forecast__forecastday__hour__temp_f","forecast__forecastday__hour__is_day","forecast__forecastday__hour__condition__text","forecast__forecastday__hour__condition__icon","forecast__forecastday__hour__condition__code","forecast__forecastday__hour__wind_mph","forecast__forecastday__hour__wind_kph","forecast__forecastday__hour__wind_degree","forecast__forecastday__hour__wind_dir","forecast__forecastday__hour__pressure_mb","forecast__forecastday__hour__pressure_in","forecast__forecastday__hour__precip_mm","forecast__forecastday__hour__precip_in","forecast__forecastday__hour__humidity","forecast__forecastday__hour__cloud","forecast__forecastday__hour__feelslike_c","forecast__forecastday__hour__feelslike_f","forecast__forecastday__hour__windchill_c","forecast__forecastday__hour__windchill_f","forecast__forecastday__hour__heatindex_c","forecast__forecastday__hour__heatindex_f","forecast__forecastday__hour__dewpoint_c","forecast__forecastday__hour__dewpoint_f","forecast__forecastday__hour__will_it_rain","forecast__forecastday__hour__chance_of_rain","forecast__forecastday__hour__will_it_snow","forecast__forecastday__hour__chance_of_snow","forecast__forecastday__hour__vis_km","forecast__forecastday__hour__vis_miles"
"Toronto","Ontario","Canada","43.67","-79.42","America/Toronto","1532892026","2018-07-29 15:20","2018-07-28","1532736000","24.2","75.6","19.4","66.9","22.3","72.1","12.3","19.8","1.6","0.06","17.6","10.0","61.0","Patchy rain possible","//cdn.apixu.com/weather/64x64/day/176.png","1063","0.0","06:03 AM","08:45 PM","09:24 PM","06:39 AM","Full Moon","97","1532750400","2018-07-28 00:00","19.9","67.8","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.3","10.1","243","WSW","1015.0","30.5","0.0","0.0","66","12","20.7","69.3","20.7","69.3","20.7","69.3","14.3","57.7","0","0","0","0","19.7","12.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532754000","2018-07-28 01:00","19.4","67.0","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.1","9.8","244","WSW","1015.0","30.5","0.0","0.0","68","13","20.2","68.4","20.2","68.4","20.2","68.4","14.4","58.0","0","1","0","0","19.5","12.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532757600","2018-07-28 02:00","19.0","66.1","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.0","9.6","245","WSW","1015.0","30.5","0.0","0.0","71","14","19.8","67.6","19.8","67.6","19.8","67.6","14.6","58.2","0","1","0","0","19.2","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532761200","2018-07-28 03:00","18.5","65.3","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","5.8","9.4","247","WSW","1015.0","30.5","0.0","0.0","73","15","19.3","66.7","19.3","66.7","19.3","66.7","14.7","58.5","0","0","0","0","19.0","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532764800","2018-07-28 04:00","18.4","65.1","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","6.9","11.0","246","WSW","1015.0","30.4","0.0","0.0","74","17","19.1","66.4","19.1","66.4","19.1","66.4","14.5","58.2","0","1","0","0","18.9","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532768400","2018-07-28 05:00","18.3","64.9","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","7.9","12.7","246","WSW","1015.0","30.4","0.0","0.0","74","19","18.9","66.0","18.9","66.0","18.9","66.0","14.4","57.9","0","1","0","0","18.8","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532772000","2018-07-28 06:00","18.2","64.8","0","Partly cloudy","//cdn.apixu.com/weather/64x64/night/116.png","1003","8.9","14.4","246","WSW","1015.0","30.4","0.0","0.0","75","21","18.7","65.7","18.7","65.7","18.7","65.7","14.2","57.6","0","0","0","0","18.7","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532775600","2018-07-28 07:00","19.1","66.3","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","9.8","15.7","247","WSW","1015.0","30.4","0.0","0.0","71","20","19.5","67.1","19.5","67.1","19.5","67.1","14.0","57.3","0","1","0","0","18.8","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532779200","2018-07-28 08:00","19.9","67.9","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","10.6","17.0","248","WSW","1015.0","30.5","0.0","0.0","67","19","20.3","68.5","20.3","68.5","20.3","68.5","13.9","57.0","0","1","0","0","18.9","11.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1532782800","2018-07-28 09:00","20.8","69.4","1","Partly cloudy","//cdn.apixu.com/weather/64x64/day/116.png","1003","11.4","18.4","249","WSW","1016.0","30.5","0.0","0.0","64","18","21.1","70.0","21.1","70.0","21.1","70.0","13.7","56.7","0","0","0","0","19.0","11.0"
