Date,Pressure,Humidity,T2,Temperature,Power Demand
7/22/2018,1010,78,20.3,293.,4476.666
7/23/2018,1013.958,79.041,22.45,295.45,4537.706785714286
7/24/2018,1016.15,79.083,23.4,296.4,4510.569685714286
7/25/2018,1014.833,74.833,23.0625,296.0625,4486.5104190476195
7/26/2018,1011.167,69.333,23.0958,296.0958,4493.248419047619
7/27/2018,1013.042,59.91,21.9803,294.9803,4610.058285714285
7/28/2018,1016,61.0416,21.033,294.033,4610.985285714285
7/29/2018,1013,19.8,68,292.95,4637.473285714285
7/30/2018,1010,21.1,69,294.25,4592.227285714285
7/31/2018,1011,21.5,76,294.65,4659.261285714286
8/1/2018,1006,21.6,77,294.75,4616.4117857142855
8/2/2018,1003,22,71,295.15,4616.4117857142855
8/3/2018,1000,22,70,295.15,4537.706785714286
