datetime,Temp,Supply_MW,Humidity,wind_speed
2017-01-01 0:00,275.59,13,92,3
2017-01-01 1:00,275.34,13,86,9
2017-01-01 2:00,275.56,13,86,7
2017-01-01 3:00,275.57,13,74,5
2017-01-01 4:00,274.92,13,69,6
2017-01-01 5:00,274.66,13,69,7
2017-01-01 6:00,274.14,13,64,10
2017-01-01 7:00,273.63,13,64,9
2017-01-01 8:00,273.63,13,69,6
2017-01-01 9:00,273.4,13,84,4
2017-01-01 10:00,273.4,13,84,5
2017-01-01 11:00,273.4,13,88,3
2017-01-01 12:00,273.39,13,69,9
2017-01-01 13:00,272.55,13,88,7
2017-01-01 14:00,272.35,13,86,7
2017-01-01 15:00,272.56,13,86,7
2017-01-01 16:00,273.57,13,64,6
2017-01-01 17:00,274.16,13,59,7
2017-01-01 18:00,275.16,13,55,5
2017-01-01 19:00,275.37,13,51,5
2017-01-01 20:00,275.57,13,55,4
2017-01-01 21:00,275.76,13,55,4
2017-01-01 22:00,275.36,13,55,5
2017-01-01 23:00,274.15,13,59,4
2017-01-02 0:00,273.33,13,59,5
2017-01-02 1:00,273.15,13,74,3
2017-01-02 2:00,271.89,13,74,5
2017-01-02 3:00,271.91,13,74,4
2017-01-02 4:00,271.09,13,74,3
2017-01-02 5:00,270.82,13,74,2
2017-01-02 6:00,270.57,12,74,1
2017-01-02 7:00,270.1,12,70,1
2017-01-02 8:00,270.08,12,80,3
2017-01-02 9:00,270.34,12,74,4
2017-01-02 10:00,270.85,11,80,6
2017-01-02 11:00,271.66,12,86,4
2017-01-02 12:00,271.19,12,85,2
2017-01-02 13:00,271.72,12,65,4
2017-01-02 14:00,271.91,12,92,2
2017-01-02 15:00,273.11,12,80,4
2017-01-02 16:00,274.96,12,93,8
2017-01-02 17:00,276.36,12,86,6
2017-01-02 18:00,277.15,12,85,7
2017-01-02 19:00,277.36,11,85,7
2017-01-02 20:00,276.96,11,93,5
2017-01-02 21:00,276.75,12,93,8
2017-01-02 22:00,276.36,11,93,7
2017-01-02 23:00,276.15,12,80,7
2017-01-03 0:00,276.13,12,80,6
2017-01-03 1:00,276.15,12,80,6
2017-01-03 2:00,276.76,12,86,4
2017-01-03 3:00,276.74,12,86,3
2017-01-03 4:00,276.38,12,93,5
2017-01-03 5:00,275.87,12,100,4
2017-01-03 6:00,276.38,12,93,5
2017-01-03 7:00,276.11,12,93,5
2017-01-03 8:00,276.37,12,100,4
2017-01-03 9:00,276.11,11,100,5
2017-01-03 10:00,276.11,11,93,6
2017-01-03 11:00,276.12,11,93,5
2017-01-03 12:00,276.64,11,100,3
2017-01-03 13:00,276.75,12,93,4
2017-01-03 14:00,276.75,12,100,4
2017-01-03 15:00,276.95,11,100,4
2017-01-03 16:00,276.98,12,100,5
2017-01-03 17:00,276.98,12,100,2
2017-01-03 18:00,276.93,11,100,1
2017-01-03 19:00,277.15,12,100,2
2017-01-03 20:00,277.17,12,100,5
2017-01-03 21:00,277.14,12,100,1
2017-01-03 22:00,276.95,11,93,3
2017-01-03 23:00,276.94,11,93,5
2017-01-04 0:00,276.98,12,100,3
2017-01-04 1:00,276.71,12,93,3
2017-01-04 2:00,276.15,12,93,3
2017-01-04 3:00,276.2,12,93,3
2017-01-04 4:00,275.35,12,93,2
2017-01-04 5:00,275.42,12,100,1
2017-01-04 6:00,275.39,12,100,2
2017-01-04 7:00,275.4,11,93,4
2017-01-04 8:00,275.13,11,100,4
2017-01-04 9:00,275.6,12,93,4
2017-01-04 10:00,276.16,12,86,6
2017-01-04 11:00,275.62,12,89,7
2017-01-04 12:00,275.65,12,93,2
2017-01-04 13:00,275.93,12,80,7
2017-01-04 14:00,275.37,12,83,10
2017-01-04 15:00,275.36,11,74,7
2017-01-04 16:00,274.75,12,69,11
2017-01-04 17:00,272.59,12,68,12
2017-01-04 18:00,270.98,11,63,14
2017-01-04 19:00,270.17,12,49,13
2017-01-04 20:00,269.15,11,53,13
2017-01-04 21:00,268.33,12,58,14
2017-01-04 22:00,267.74,12,57,13
2017-01-04 23:00,266.98,12,62,11
2017-01-05 0:00,266.75,11,67,14
2017-01-05 1:00,266.19,12,61,6
2017-01-05 2:00,265.76,12,67,8
2017-01-05 3:00,265.55,12,73,12
2017-01-05 4:00,265.12,13,67,13
2017-01-05 5:00,265.14,13,67,12
2017-01-05 6:00,265.14,13,67,12
2017-01-05 7:00,265.14,12,67,11
2017-01-05 8:00,265.88,11,67,14
2017-01-05 9:00,266.11,12,67,12
2017-01-05 10:00,266.14,11,67,13
2017-01-05 11:00,266.39,11,73,10
2017-01-05 12:00,266.38,12,67,11
2017-01-05 13:00,265.34,12,67,8
2017-01-05 14:00,265.33,12,67,9
2017-01-05 15:00,265.56,12,67,5
2017-01-05 16:00,266.15,12,62,7
2017-01-05 17:00,266.37,12,61,6
2017-01-05 18:00,266.77,12,57,5
2017-01-05 19:00,266.78,12,62,6
2017-01-05 20:00,266.74,11,67,7
2017-01-05 21:00,266.55,12,62,7
2017-01-05 22:00,265.97,11,67,5
2017-01-05 23:00,265.59,11,66,3
2017-01-06 0:00,265.17,11,66,3
2017-01-06 1:00,265.16,12,67,6
2017-01-06 2:00,264.56,12,61,7
2017-01-06 3:00,264.16,12,61,7
2017-01-06 4:00,262.9,12,66,7
2017-01-06 5:00,262.9,12,61,7
2017-01-06 6:00,261.9,12,66,6
2017-01-06 7:00,261.9,12,66,6
2017-01-06 8:00,261.9,12,66,6
2017-01-06 9:00,261.9,12,72,7
2017-01-06 10:00,260.9,12,72,6
2017-01-06 11:00,260.9,12,72,5
2017-01-06 12:00,260.63,12,72,6
2017-01-06 13:00,260.33,12,66,8
2017-01-06 14:00,260.33,12,66,6
2017-01-06 15:00,261.55,12,66,5
2017-01-06 16:00,263.16,12,56,5
2017-01-06 17:00,264.34,12,52,6
2017-01-06 18:00,265.55,11,48,7
2017-01-06 19:00,265.74,12,44,5
2017-01-06 20:00,265.76,11,48,6
2017-01-06 21:00,266.15,12,44,6
2017-01-06 22:00,265.35,12,48,6
2017-01-06 23:00,264.16,12,48,7
2017-01-07 0:00,263.35,12,52,6
2017-01-07 1:00,262.95,12,52,4
2017-01-07 2:00,262.74,12,56,6
2017-01-07 3:00,262.15,12,61,4
2017-01-07 4:00,261.63,12,61,6
2017-01-07 5:00,261.37,12,61,4
