WHITBYCGS	PICKERINGA-G1	PICKERINGA-G3	PICKERINGB-G5	PICKERINGB-G6	PICKERINGB-G8	BECK1	BECK2	DECEWFALLS	GRAND VALLEY 3	GRANDSF	GRANDWF	SUM	Humidity	Pressure	Temperature
57	512	509	491	512	522	132	988	71	37	0	127	3958	92	1001	275.59
57	512	508	492	511	521	131	1064	70	35	0	99	4000	86	1003	275.34
57	511	509	492	512	521	132	1002	70	28	0	81	3915	86	1003	275.56
57	512	510	494	514	522	132	1024	70	27	0	55	3917	74	1003	275.57
57	513	510	494	513	522	132	997	70	24	0	50	3882	69	1006	274.92
57	513	511	495	514	522	132	984	70	22	0	48	3868	69	1006	274.66
57	513	511	499	514	522	133	999	70	22	0	57	3897	64	1007	274.14
57	512	511	501	514	522	136	1062	71	22	0	53	3961	64	1009	273.63
57	513	510	500	514	520	135	992	71	24	12	34	3882	69	1011	273.63
57	512	510	500	513	522	135	996	71	21	49	18	3904	84	1013	273.4
57	513	511	500	513	522	134	977	71	23	83	21	3925	84	1013	273.4
57	512	510	500	506	523	135	1046	71	22	96	39	4017	88	1014	273.4
57	512	510	498	499	522	133	1076	71	24	97	40	4039	69	1016	273.39
57	513	510	500	500	520	134	1082	72	22	93	25	4028	88	1017	272.55
57	513	510	500	500	522	134	1111	72	15	76	36	4046	86	1018	272.35
57	513	511	498	500	522	132	1103	72	9	39	43	3999	86	1020	272.56
56	513	509	499	502	522	132	1083	72	5	7	22	3922	64	1021	273.57
56	513	511	500	513	522	166	1230	72	23	0	30	4136	59	1022	274.16
56	513	511	501	513	522	206	1311	72	36	0	13	4254	55	1021	275.16
57	513	510	499	514	520	135	1035	71	32	0	6	3892	51	1021	275.37
57	513	510	500	514	522	163	1246	71	33	0	7	4136	55	1021	275.57
57	512	511	501	514	522	151	1241	71	33	0	11	4124	55	1022	275.76
57	513	510	500	514	522	166	1168	71	33	0	1	4055	55	1023	275.36
57	513	509	501	513	520	274	1369	70	28	0	0	4354	59	1024	274.15
56	513	510	500	514	522	176	1378	70	16	0	4	4259	59	1025	273.33
57	513	510	500	513	522	208	1349	70	1	0	21	4264	74	1025	273.15
57	513	510	499	514	522	139	1010	70	0	0	41	3875	74	1026	271.89
57	512	509	500	514	523	137	1000	70	2	0	40	3864	74	1026	271.91
57	512	511	500	512	523	138	1005	70	9	0	58	3895	74	1027	271.09
56	513	509	501	514	523	137	977	70	17	0	59	3876	74	1027	270.82
57	513	510	506	513	523	137	1022	69	25	0	64	3939	74	1026	270.57
57	513	509	506	513	523	137	996	66	32	2	37	3891	70	1027	270.1
57	513	509	506	513	523	139	986	66	24	4	47	3887	80	1027	270.08
57	513	499	507	514	523	141	1036	67	17	18	47	3939	74	1027	270.34
57	512	497	507	514	523	140	1071	66	22	34	30	3973	80	1027	270.85
57	513	496	507	514	522	140	1084	67	22	22	13	3957	86	1027	271.66
57	510	491	503	511	521	188	1365	66	16	13	5	4246	85	1027	271.19
57	510	489	500	509	521	161	1407	66	11	8	1	4240	65	1027	271.72
57	509	488	502	510	521	143	1226	67	18	5	8	4054	92	1027	271.91
57	509	498	502	510	520	135	1223	67	24	3	24	4072	80	1027	273.11
56	510	500	501	510	521	135	1064	71	24	0	34	3926	93	1026	274.96
57	509	500	498	509	521	135	1031	72	24	0	12	3868	86	1026	276.36
57	509	501	496	510	521	135	1038	72	33	0	22	3894	85	1025	277.15
56	510	501	500	510	521	138	1179	72	27	0	62	4076	85	1024	277.36
56	509	501	500	508	521	138	1202	72	21	0	30	4058	93	1024	276.96
57	508	499	498	508	520	306	1429	72	13	0	33	4443	93	1025	276.75
57	509	499	498	510	519	233	1215	70	7	0	16	4133	93	1023	276.36
57	509	500	500	510	520	139	1047	70	14	0	13	3879	80	1023	276.15
56	509	502	500	510	521	140	1079	70	7	0	4	3898	80	1022	276.13
57	510	502	501	511	522	138	1019	68	6	0	12	3846	80	1022	276.15
57	511	504	502	511	522	138	1019	67	8	0	17	3856	86	1020	276.76
57	512	505	502	512	522	137	1036	67	15	0	3	3868	86	1019	276.74
57	512	506	499	512	522	138	1076	67	26	0	8	3923	93	1019	276.38
57	511	506	496	512	522	138	1107	67	27	0	14	3957	100	1018	275.87
57	511	505	497	511	519	156	1177	67	23	0	33	4056	93	1017	276.38
57	511	504	501	511	521	240	1324	67	13	0	54	4303	93	1016	276.11
57	510	505	499	511	521	301	1402	69	11	0	26	4412	100	1016	276.37
57	512	506	502	512	520	158	1235	71	8	1	34	4116	100	1015	276.11
57	511	506	503	512	522	201	1307	72	13	3	28	4255	93	1014	276.11
57	512	505	503	512	522	296	1415	72	7	4	6	4471	93	1013	276.12
57	512	506	502	511	522	295	1417	72	7	5	1	4473	100	1012	276.64
57	512	506	502	512	522	203	1342	72	6	4	3	4337	93	1011	276.75
57	512	507	501	512	522	264	1356	72	2	3	2	4468	100	1010	276.75
57	512	507	501	512	522	295	1346	72	9	1	0	4710	100	1009	276.95
56	512	506	502	512	522	151	1246	72	4	0	1	4472	100	1008	276.98
56	512	507	502	511	520	251	1338	73	2	0	0	4656	100	1007	276.98
56	513	507	502	512	522	209	1289	73	1	0	0	4600	100	1005	276.93
57	513	507	503	513	522	279	1333	72	0	0	1	4704	100	1004	277.15
57	513	507	503	513	520	280	1254	72	0	0	6	4673	100	1004	277.17
57	513	507	496	513	523	246	1231	72	0	0	4	4216	100	1003	277.14
57	512	506	491	512	523	207	1130	72	1	0	3	4014	93	1002	276.95
57	513	507	491	513	523	151	1032	72	9	0	1	3869	93	1001	276.94
57	513	508	495	513	521	136	1026	71	19	0	2	3861	100	1000	276.98
57	513	507	502	513	523	136	1030	71	30	0	0	3882	93	999	276.71
57	513	507	500	513	523	136	1019	71	37	0	0	3876	93	998	276.15
57	513	507	500	513	523	137	1019	70	38	0	0	3877	93	998	276.2
57	513	506	499	513	523	136	983	70	38	0	0	3838	93	997	275.35
57	513	507	497	513	523	137	1024	70	36	0	0	3877	100	997	275.42
57	513	507	499	513	523	140	998	68	35	0	0	3853	100	996	275.39
57	513	506	498	513	523	140	1027	67	38	0	0	3882	93	997	275.4
57	512	507	498	513	523	140	1036	67	39	2	0	3894	100	997	275.13
57	513	507	498	512	522	139	1057	68	39	16	1	3929	93	996	275.6
57	512	505	496	511	522	139	1090	70	39	23	40	4004	86	996	276.16
57	512	505	495	510	521	139	1070	70	39	37	9	3964	89	997	275.62
57	512	506	498	511	522	139	1079	72	39	12	8	3955	93	996	275.65
57	512	505	500	510	519	139	1055	73	39	16	43	3968	80	997	275.93
57	511	504	499	510	521	138	1097	73	39	20	114	4083	83	998	275.37
57	512	505	501	510	521	139	1037	73	39	12	139	4045	74	996	275.36
57	512	506	502	509	521	139	1059	73	39	1	136	4054	69	997	274.75
56	512	505	504	510	519	139	1187	73	39	0	142	4186	68	999	272.59
56	512	505	503	511	521	138	1084	73	39	0	141	4083	63	1000	270.98
56	512	506	505	511	521	138	1104	73	39	0	140	4105	49	1001	270.17
56	513	507	505	511	522	138	1100	72	39	0	142	4105	53	1002	269.15
56	513	506	506	510	522	145	1132	72	39	0	142	4143	58	1003	268.33
56	512	8	505	511	519	176	1227	70	39	0	139	3762	57	1003	267.74
57	513	0	505	511	522	135	1121	68	39	0	141	3612	62	1003	266.98
57	513	0	507	513	522	136	1056	67	39	0	134	3553	67	1004	266.75
57	512	0	507	512	523	137	989	66	39	0	126	3479	61	1003	266.19
57	513	0	506	513	523	140	996	66	39	0	109	3520	67	1004	265.76
57	512	0	507	513	523	140	1016	64	39	0	31	3462	73	1005	265.55
57	512	0	506	512	523	140	1033	64	38	0	34	3512	67	1006	265.12
56	512	0	507	513	518	139	1024	64	39	0	62	3601	67	1006	265.14
56	512	0	505	513	515	139	995	64	38	0	81	3728	67	1006	265.14
57	512	0	507	513	514	139	1014	64	38	0	118	3883	67	1005	265.14
57	513	0	507	513	517	200	1342	65	38	4	93	4254	67	1007	265.88
57	511	0	506	513	523	314	1272	65	38	14	98	4407	67	1008	266.11
57	512	0	507	512	521	246	1354	66	36	23	122	4374	67	1008	266.14
57	512	0	506	511	522	297	1352	71	33	19	125	4486	73	1009	266.39
57	512	0	506	512	522	222	1349	72	28	18	100	4400	67	1010	266.38
57	513	0	507	513	523	281	1369	73	31	10	70	4218	67	1010	265.34
57	513	0	508	513	523	273	1360	73	27	7	52	4312	67	1011	265.33
57	512	0	507	512	523	264	1362	73	22	5	40	4420	67	1010	265.56
57	512	0	507	513	521	134	1103	73	15	1	19	4262	62	1011	266.15
57	513	0	506	513	523	264	1316	72	16	0	16	4998	61	1011	266.37
57	513	0	507	513	523	202	1375	72	20	0	62	4897	57	1009	266.77
57	513	0	507	513	523	249	1404	71	26	0	61	4904	62	1009	266.78
57	512	0	507	512	523	92	1163	71	33	0	55	4187	67	1011	266.74
57	513	0	507	513	523	145	1174	71	32	0	58	4199	62	1011	266.55
57	512	0	507	513	523	147	1184	69	35	0	63	4204	67	1011	265.97
57	513	0	507	513	523	174	1219	68	35	0	70	4104	66	1010	265.59
57	513	0	505	512	521	234	1350	68	35	0	54	3946	66	1011	265.17
57	513	0	507	513	523	218	1282	68	34	0	65	3896	67	1012	265.16
57	513	0	507	513	523	150	1384	68	28	0	71	4305	61	1012	264.56
57	512	0	507	514	523	157	1254	68	27	0	85	4386	61	1013	264.16
57	513	0	508	514	523	150	1272	68	31	0	104	4522	66	1013	262.9
57	512	0	505	513	523	138	1009	68	32	0	76	4215	61	1014	262.9
57	513	0	507	514	521	185	1182	68	26	0	61	4417	66	1014	261.9
57	513	0	506	514	523	282	1256	68	22	1	66	4675	66	1015	261.9
57	513	0	507	513	522	305	1274	70	27	9	67	4411	66	1015	261.9
57	512	0	508	514	523	303	1251	70	16	36	61	4499	72	1015	261.9
57	513	0	508	514	523	182	1155	70	20	72	77	4119	72	1015	260.9
57	513	0	508	514	523	138	1065	70	24	96	112	3710	72	1015	260.9
57	513	0	508	514	523	139	1032	70	23	98	89	3594	72	1016	260.63
57	513	0	508	514	523	138	1058	70	25	98	79	3823	66	1017	260.33
57	513	0	508	514	523	139	1285	69	28	85	87	4483	66	1017	260.33
56	512	0	507	513	523	137	1334	69	22	45	84	4673	66	1018	261.55
56	512	0	507	514	523	237	1341	70	18	8	71	4858	56	1019	263.16
56	513	0	508	514	521	268	1315	70	22	0	52	4977	52	1019	264.34
56	513	0	508	513	523	237	1315	70	24	0	31	4909	48	1019	265.55
56	513	0	506	514	523	139	1187	70	19	0	48	4541	44	1019	265.74
56	513	0	508	513	523	156	1167	67	19	0	68	4233	48	1019	265.76
56	512	0	508	514	524	187	1176	66	18	0	82	4302	44	1020	266.15
56	513	0	508	514	522	204	1186	66	16	0	73	4273	48	1021	265.35
56	513	0	507	514	524	166	1194	66	18	0	70	3711	48	1021	264.16
57	513	0	507	513	524	241	1264	66	17	0	59	3761	52	1023	263.35
56	513	0	507	514	524	220	1223	66	15	0	50	3688	52	1024	262.95
56	513	0	507	514	524	131	1097	66	15	0	46	3482	56	1024	262.74
56	512	0	507	514	522	241	1336	66	16	0	39	3890	61	1025	262.15
57	513	0	505	513	524	180	1298	67	16	0	39	3997	61	1025	261.63
57	513	0	507	514	523	229	1271	71	15	0	46	4173	61	1025	261.37
57	513	0	507	514	523	235	1273	72	14	0	37	4196	61	1026	260.88
57	513	0	507	514	523	120	1208	72	16	0	38	3989	72	1026	260.63
57	513	0	505	513	521	240	1267	72	15	6	48	4172	72	1026	259.84
