sum,Humidity,Pressure,Temperature
3958,92,1001,275.59
4000,86,1003,275.34
3915,86,1003,275.56
3917,74,1003,275.57
3882,69,1006,274.92
3868,69,1006,274.66
3897,64,1007,274.14
3961,64,1009,273.63
3882,69,1011,273.63
3904,84,1013,273.4
3925,84,1013,273.4
4017,88,1014,273.4
4039,69,1016,273.39
4028,88,1017,272.55
4046,86,1018,272.35
3999,86,1020,272.56
3922,64,1021,273.57
4136,59,1022,274.16
4254,55,1021,275.16
3892,51,1021,275.37
4136,55,1021,275.57
4124,55,1022,275.76
4055,55,1023,275.36
4354,59,1024,274.15
4259,59,1025,273.33
4264,74,1025,273.15
3875,74,1026,271.89
3864,74,1026,271.91
3895,74,1027,271.09
3876,74,1027,270.82
3939,74,1026,270.57
3891,70,1027,270.1
3887,80,1027,270.08
3939,74,1027,270.34
3973,80,1027,270.85
3957,86,1027,271.66
4246,85,1027,271.19
4240,65,1027,271.72
4054,92,1027,271.91
4072,80,1027,273.11
3926,93,1026,274.96
3868,86,1026,276.36
3894,85,1025,277.15
4076,85,1024,277.36
4058,93,1024,276.96
4443,93,1025,276.75
4133,93,1023,276.36
3879,80,1023,276.15
3898,80,1022,276.13
3846,80,1022,276.15
3856,86,1020,276.76
3868,86,1019,276.74
3923,93,1019,276.38
3957,100,1018,275.87
4056,93,1017,276.38
4303,93,1016,276.11
4412,100,1016,276.37
4116,100,1015,276.11
4255,93,1014,276.11
4471,93,1013,276.12
4473,100,1012,276.64
4337,93,1011,276.75
4468,100,1010,276.75
4710,100,1009,276.95
4472,100,1008,276.98
4656,100,1007,276.98
4600,100,1005,276.93
4704,100,1004,277.15
4673,100,1004,277.17
4216,100,1003,277.14
4014,93,1002,276.95
3869,93,1001,276.94
3861,100,1000,276.98
3882,93,999,276.71
3876,93,998,276.15
3877,93,998,276.2
3838,93,997,275.35
3877,100,997,275.42
3853,100,996,275.39
3882,93,997,275.4
3894,100,997,275.13
3929,93,996,275.6
4004,86,996,276.16
3964,89,997,275.62
3955,93,996,275.65
3968,80,997,275.93
4083,83,998,275.37
4045,74,996,275.36
4054,69,997,274.75
4186,68,999,272.59
4083,63,1000,270.98
4105,49,1001,270.17
4105,53,1002,269.15
4143,58,1003,268.33
3762,57,1003,267.74
3612,62,1003,266.98
3553,67,1004,266.75
3479,61,1003,266.19
3520,67,1004,265.76
3462,73,1005,265.55
3512,67,1006,265.12
3601,67,1006,265.14
3728,67,1006,265.14
3883,67,1005,265.14
4254,67,1007,265.88
4407,67,1008,266.11
4374,67,1008,266.14
4486,73,1009,266.39
4400,67,1010,266.38
4218,67,1010,265.34
4312,67,1011,265.33
4420,67,1010,265.56
4262,62,1011,266.15
4998,61,1011,266.37
4897,57,1009,266.77
4904,62,1009,266.78
4187,67,1011,266.74
4199,62,1011,266.55
4204,67,1011,265.97
4104,66,1010,265.59
3946,66,1011,265.17
3896,67,1012,265.16
4305,61,1012,264.56
4386,61,1013,264.16
4522,66,1013,262.9
4215,61,1014,262.9
4417,66,1014,261.9
4675,66,1015,261.9
4411,66,1015,261.9
4499,72,1015,261.9
4119,72,1015,260.9
3710,72,1015,260.9
3594,72,1016,260.63
3823,66,1017,260.33
4483,66,1017,260.33
4673,66,1018,261.55
4858,56,1019,263.16
4977,52,1019,264.34
4909,48,1019,265.55
4541,44,1019,265.74
4233,48,1019,265.76
4302,44,1020,266.15
4273,48,1021,265.35
3711,48,1021,264.16
3761,52,1023,263.35
3688,52,1024,262.95
3482,56,1024,262.74
3890,61,1025,262.15
3997,61,1025,261.63
4173,61,1025,261.37
4196,61,1026,260.88
3989,72,1026,260.63
4172,72,1026,259.84
4346,66,1027,259.84
4033,66,1027,259.84
4052,66,1027,259.09
3500,72,1027,259.09
3510,78,1027,258.92
3867,78,1027,259.13
3998,78,1028,260.72
4281,72,1028,262.94
4864,67,1026,264.93
4868,62,1026,265.55
4503,62,1026,265.96
4380,57,1025,265.76
4365,57,1025,265.55
3942,48,1025,264.79
4038,56,1024,263.97
3867,66,1024,263.15
3658,56,1025,262.76
3457,61,1026,262.35
3406,66,1025,262.37
3823,66,1025,261.9
3638,72,1024,261.9
3565,72,1023,261.9
3453,78,1022,261.9
3438,78,1022,262.61
3477,67,1022,263.4
3654,78,1022,263.6
3853,78,1023,263.44
4111,52,1025,263.14
4332,85,1024,262.97
4405,72,1026,262.81
4563,72,1026,262.79
4893,61,1028,262.96
5176,56,1029,263.36
5192,47,1030,263.15
5058,51,1030,263.16
4941,52,1033,263.55
5032,61,1033,263.37
4499,52,1033,262.95
4240,61,1034,262.16
3476,47,1035,261.96
3462,51,1036,261.76
3464,56,1036,260.96
3772,66,1037,261.36
3997,66,1037,261.63
4132,72,1036,262.27
4571,72,1033,263.08
4903,67,1034,263.31
5166,66,1033,263.86
4213,62,1034,264.37
3924,61,1033,265.14
3918,67,1033,265.1
3753,67,1032,265.86
3783,67,1032,266.11
4274,67,1031,266.68
4586,79,1030,266.72
5115,79,1030,267.12
4862,68,1028,268.09
4528,68,1028,268.91
4295,68,1027,269.56
4290,62,1026,269.98
3914,53,1027,270.15
3555,58,1027,269.76
3500,68,1028,269.54
3471,68,1028,269.55
3477,68,1028,269.55
3452,68,1028,269.77
3436,68,1028,269.75
3521,68,1028,270.12
3461,58,1028,269.88
3489,58,1027,270.39
3495,58,1027,270.9
3468,63,1026,271.16
3480,74,1025,271.13
3488,84,1025,271.34
3745,92,1023,270.89
3770,86,1023,270.85
3496,92,1022,271.34
3468,92,1021,271.56
3470,86,1020,271.93
3553,69,1018,272.31
3513,80,1017,272.98
3539,80,1014,273.39
3969,87,1013,273.35
4065,100,1011,273.35
3922,92,1009,273.98
3644,92,1007,274.76
3489,100,1007,275.19
3385,100,1003,276.16
